agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,39,100,available_budget,46.62
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,39,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,40,100,acceptance_rate,0.28439359
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,40,100,accumulated_reward,4.45
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,40,100,available_budget,46.53
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,40,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,41,100,acceptance_rate,0.28250295000000003
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,41,100,accumulated_reward,4.56
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,41,100,available_budget,46.46
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,41,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,42,100,acceptance_rate,0.2791824
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,42,100,accumulated_reward,4.61
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,42,100,available_budget,46.42
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,42,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,43,100,acceptance_rate,0.27979394
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,43,100,accumulated_reward,4.72
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,43,100,available_budget,46.33
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,43,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,44,100,acceptance_rate,0.27785056
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,44,100,accumulated_reward,4.79
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,44,100,available_budget,46.27
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,44,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,45,100,acceptance_rate,0.27716566
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,45,100,accumulated_reward,4.89
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,45,100,available_budget,46.2
